,date,source,title,url
0,11 hours ago,Investing.com,Forex - Dollar Gets Lift From Easing Trade War Fears,https://investing.com/news/forex-news/forex--dollar-gets-lift-from-easing-trade-war-fears-1509768
1,13 hours ago,FXStreet,USD/CHF Technical Analysis: Greenback gaining ground against Swissy for the second consecutive day,https://invst.ly/7uyof
2,14 hours ago,FXStreet,USD/CHF advances to mid-0.99s on higher risk appetite,https://invst.ly/7uxql
3,14 hours ago,Dailyfx,"US Dollar Extends Support Bounce as EUR/USD, GBP/USD Turn Lower",https://invst.ly/7uxun
4,16 hours ago,Forexlive,The CAD is the strongest. The NZD is the weakest as NA traders enter for the day.,https://invst.ly/7uwhy
5,20 hours ago,FXStreet,USD/CHF scope for a test of 0.9789/33 – Commerzbank,https://invst.ly/7us4i
6,"Jun 26, 2018",Dailyfx,US Dollar Price Action Setups as End of Q2 Nears,https://invst.ly/7umms
7,"Jun 26, 2018",FXStreet,USD/CHF pushes above 0.99 on improved sentiment and stronger greenback,https://invst.ly/7ulum
11,"Jun 26, 2018",FXEmpire,"Technical Update For EUR/USD, USD/JPY, NZD/USD & USD/CHF: 26.06.2018",https://invst.ly/7ufbr
12,"Jun 25, 2018",FXStreet,USD/CHF hits fresh weekly lows as US dollar extends losses,https://invst.ly/7u8dk
13,"Jun 25, 2018",Dailyfx,"FX Setups for the Week of June 25, 2018: USD/CHF, GBP/USD",https://invst.ly/7u80h
14,"Jun 25, 2018",Investing.com,Gold Prices Struggle to Advance Despite Rising Safe-Haven Demand,https://investing.com/news/commodities-news/gold-prices-struggle-to-advance-despite-rising-safehaven-demand-1506421
15,"Jun 25, 2018",Investing.com,Forex - U.S. Dollar Skids as Trade War Fears Heat Up,https://investing.com/news/forex-news/forex--us-dollar-skids-as-trade-war-fears-heat-up-1506336
16,"Jun 25, 2018",FXStreet,USD/CHF Technical Analysis: today’s downfall confirms a bearish double-top on H4,https://invst.ly/7u4u4
17,"Jun 25, 2018",FXStreet,"USD/CHF hits 1-1/2 week lows, around 0.9870",https://invst.ly/7u32g
18,"Jun 25, 2018",FXStreet,USD/CHF now looks vulnerable – Commerzbank,https://invst.ly/7u07v
22,"Jun 22, 2018",FXStreet,USD/CHF Technical Analysis: a bearish double-top formation on H4,https://invst.ly/7tezn
23,"Jun 22, 2018",FXStreet,USD/CHF positive while above 0.9875/72 – Commerzbank,https://invst.ly/7tdxa
24,"Jun 21, 2018",FXStreet,USD/CHF plummets to 0.99 as US Dollar Index extends losses,https://invst.ly/7t5ye
25,"Jun 21, 2018",Dailyfx,Safe Haven Currencies Continue to Weaken as ’Risk On’ Mood Persists,https://invst.ly/7s-v7
26,"Jun 21, 2018",Investing.com,SNB Leaves Key Rate On Hold,https://investing.com/news/economic-indicators/snb-leaves-key-rate-on-hold-1501608
27,"Jun 21, 2018",FXStreet,"Swiss National Bank keeps key rate on-hold at -0.75%, as widely expected",https://invst.ly/7szeg
28,"Jun 21, 2018",FXStreet,"USD/CHF on the move, trying to glimpse 1.000 ahead of the SNB rate call for Thursday",https://invst.ly/7syda
29,"Jun 20, 2018",Investing.com,"Forex - Dollar Subdued as GBP/USD Fights Back, U.S. Housing Data Fall Short",https://investing.com/news/forex-news/forex--dollar-subdued-as-gbpusd-fights-back-us-housing-data-fall-short-1500863
33,"Jun 20, 2018",FXStreet,USD/CHF looks consolidative for the time being – Commerzbank,https://invst.ly/7skv-
34,"Jun 20, 2018",Investing.com,Forex - Dollar Edges Higher amid Lull in Trade Rhetoric,https://investing.com/news/forex-news/forex--dollar-edges-higher-amid-lull-in-trade-rhetoric-1499708
35,"Jun 19, 2018",Dailyfx,US Dollar Price Action Setups After USD Sets Fresh 11-Month High,https://invst.ly/7sbuh
36,"Jun 19, 2018",Investing.com,Gold Prices Struggle to Find Footing as Dollar Rallies,https://investing.com/news/commodities-news/gold-prices-struggle-to-find-footing-as-dollar-rallies-1499052
