,date,source,title,url
0,1 hour ago,FXStreet,USD/JPY clips the 111.00 key barrier for early Monday,https://invst.ly/7w98n
1,1 hour ago,Forexlive,USD/JPY popping 111 ,https://invst.ly/7w95d
2,2 hours ago,FXStreet,"USD/JPY: mixed start in Tokyo, eyes on 111 handle while above 200-D SMA",https://invst.ly/7w8v9
3,5 hours ago,FXStreet,"Market wrap: Friday's close, euro gains sparked by the EU deal on migration - Westpac",https://invst.ly/7w865
4,19 hours ago,FXEmpire,"USD/JPY Fundamental Weekly Forecast – U.S. Bank Holiday Could Affect Price Action, Volume",https://invst.ly/7w49d
5,"Jun 29, 2018",FXEmpire,USD/JPY Weekly Price Forecast – US dollar rallies again,https://invst.ly/7vyzg
6,"Jun 29, 2018",FXEmpire,USD/JPY Price Forecast – US dollar rallies to end the week,https://invst.ly/7vyw3
7,"Jun 29, 2018",Investing.com,"CFTC: Speculators More Bullish on S&P 500, Crude Oil",https://investing.com/news/forex-news/cftc-speculators-more-bullish-on-sp-500-crude-oil-1513530
8,"Jun 29, 2018",Dailyfx,USD/JPY Jumps To ¥111 Despite Stealth Taper By Bank of Japan,https://invst.ly/7vwzt
9,"Jun 29, 2018",FXStreet,USD/JPY Technical Analysis: Greenback reaches 3-week’s high flirting with 111.00 level,https://invst.ly/7vwgw
10,"nesday, July 4, 2018 | 06:00AM EDT ","nesday, July 4, 2018 | 06:00AM EDT ",Know Smallcap Multibaggers for July-Sep ‘18 Quarter,https://investing.com/education/webinars/know-smallcap-multibaggers-for-july-sep-‘18-quarter-12287
14,"Jun 29, 2018",Marketpulse,Dollar Strong Ahead of July 4 Holiday,https://invst.ly/7vwen
15,"Jun 29, 2018",Investing.com,"Forex - Dollar Sees Red as Euro, Sterling Soar ",https://investing.com/news/forex-news/forex--dollar-sees-red-as-euro-sterling-soar-1513291
16,"Jun 29, 2018",Dailyfx,Foundations of Technical Analysis: Sticking to the Strategy,https://investing.comhttps://www.dailyfx.com/forex/education/trading_tips/daily_trading_lesson/2018/06/29/Foundations-of-Technical-Analysis-Sticking-to-the-Strategy-Chart-Price-Analysis.html
17,"Jun 29, 2018",FXStreet,USD/JPY sticks to daily gains above mid-110s despite USD weakness,https://invst.ly/7vv6-
18,"Jun 29, 2018",Reuters,Trillion dollar wipeout: world stocks' worst first half since 2010,https://investing.com/news/stock-market-news/trillion-dollar-wipeout-world-stocks-worst-first-half-since-2010-1513247
19,"Jun 29, 2018",Dailyfx,USD/JPY Bullish Series Faces Range Resistance,https://invst.ly/7vugk
20,"Jun 29, 2018",Forexlive,Everything is going up.  Even the USDJPY.,https://invst.ly/7vu4u
